,DataBase,IIE,CARGA,IO2,FOMPP
6754,2021-11-08,80.1554222140454,9048.69901928676,2.2721242318478256,100.0
6755,2021-10-27,103.818320663716,9978.6012509676,2.2721242318478256,100.0
6756,2021-11-09,81.0789193406787,8999.73045099986,2.2721242318478256,100.0
6757,2021-10-28,104.117878739188,9979.40421166432,2.2721242318478256,100.0
6758,2021-11-10,82.7412067341595,9187.93646058313,2.2721242318478256,100.0
6759,2021-10-29,104.718402193405,9932.8331006568,2.2721242318478256,100.0
6760,2021-10-30,103.644349547406,9930.06786617368,2.2721242318478256,100.0
6761,2021-10-31,103.540703151922,9930.03786169335,2.2721242318478256,100.0
6762,2021-11-01,103.701735913931,9938.33650874706,2.2721242318478256,100.0
6763,2021-11-02,104.074569052532,9949.98158482628,2.2721242318478256,100.0
